# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 55			; airspace radius in NM
zoom = 7.0 			; default zoom level, increase to zoom in
elevation = 13 			; ground altitude in feet
floor = 1800 			; minimum selectable altitude
descendaltitude = 12000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 14000 			; maximum departure altitude when SID is enabled (must be above ceiling)
transitionaltitude = 18000	; highest altitude displayed in feet instead of flight level
speedrestriction = 20, 230 	; radius in NM, and speed in knots
usa = true			; American-style callsign pronunciation and runway names
metric = false			; display altitudes in metres instead of feet
separation = 3			; minimum allowed distance between aircraft in NM
center = N42.36429977, W71.00520325
magneticvar = -14.364
beacons =
	BOS, N42.35740, W70.98950, 0, Boston
	IMR, N42.09790, W70.67530, 0, Marshfield
	LWM, N42.74040, W71.09480, 0, Lawrence
	IHM, N42.00280, W71.19710, 0, Mansfield
	PYM, N41.84750, W70.80270, 0, Plymouth
	PSM, N43.08446, W70.83199, 0, pease
	ENE, N43.42567, W70.61353, 0, kennebunk
	MHT, N42.86850, W71.36950, 0, Manchester
	PVC, N42.06890, W70.22360, 0, Provincetown
	PVD, N41.72430, W71.42960, 0, Providence
	PSM, N43.08450, W70.83200, 0, Pease
	PUT, N41.95550, W71.84410, 0, Putnam
	FMH, N41.73260, W70.44090, 0, Otis
	LFV, N42.01720, W70.03730, 0, Marconi
	GDM, N42.54600, W72.05820, 0, Gardner
	ACK, N41.28189, W70.02671, 0, nantucket
	SEY, N41.16744, W71.57609, 0, sandy point
	MVY, N41.39621, W70.61272, 0, martha's vineyard

# BOS beacons
    AADMS, N42.35.07.53, W071.19.08.13, aadms
    N42.22.38.40, W070.43.40.17
# FENWY
    N42.16.24.05, W070.43.21.25
# GLLET
    N42.12.44.02, W070.49.37.63
# WYMTH
    N42.11.44.30, W070.56.57.03
# DEDHM
    N42.05.20.66, W071.42.39.03
# PATSS

route7 =
    REVSS4.REVSS, revss four
    N42.23.25.27, W070.48.47.67
# CLAWW
    N42.22.38.40, W070.43.40.17
# FENWY
    N42.16.24.05, W070.43.21.25
# GLLET
    N42.12.44.02, W070.49.37.63
# WYMTH
    N42.11.44.30, W070.56.57.03
# DEDHM
    N42.20.43.57, W071.48.37.07
# REVSS

route8 =
    SSOXS5.SSOXS, socks five
    N42.23.25.27, W070.48.47.67
# CLAWW
    N42.22.38.40, W070.43.40.17
# FENWY
    N42.17.36.11, W070.41.01.52
# BUCYK
    N42.08.21.83, W070.36.47.48
# JSTER
    N41.50.12.62, W070.44.46.26
# SSOXS


##################################################
[departure3]
runway = BOS_15R_33L

route1 =
    BLZZR4.BLZZR, blazer four
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.13.02.39, W071.45.36.59
# BLZZR

route2 =
    BRUWN5.BRUWN, bruwn five
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.17.36.11, W070.41.01.52
# BUCYK
    N41.36.09.68, W070.13.45.81
# BRUWN

route3 =
    CELTK5.CELTK, celtik five
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.45.42, W070.38.15.02
# SCOAR
    N42.15.59.05, W070.06.12.33
# CELTK

route4 =
    HYLND5.HYLND, hylund five
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.31.61, W070.45.13.67
# BOATT
    N42.26.49.28, W070.42.35.12
# HEARR
    N42.32.00.65, W070.45.57.30
# MARBB
    N42.46.51.12, W071.16.31.08
# HYLND

route5 =
    LBSTA6.LBSTA, labsta six
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.31.61, W070.45.13.67
# BOATT
    N42.26.49.28, W070.42.35.12
# HEARR
    N42.40.34.24, W070.38.27.06
# SHAUN
    N42.48.00.00, W070.36.48.70
# LBSTA

route6 =
    PATSS5.PATSS, patss five
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.05.20.66, W071.42.39.03
# PATSS

route7 =
    REVSS4.REVSS, revss four
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.20.43.57, W071.48.37.07
# REVSS

route8 =
    SSOXS5.SSOXS, socks five
    N42.18.55.28, W070.54.10.54
# FOXXX
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.17.36.11, W070.41.01.52
# BUCYK
    N42.08.21.83, W070.36.47.48
# JSTER
    N41.50.12.62, W070.44.46.26
# SSOXS


##################################################
[departure4]
runway = BOS_04R_22L, rev

route1 =
    BLZZR4.BLZZR, blazer four
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.13.02.39, W071.45.36.59
# BLZZR

route2 =
    BRUWN5.BRUWN, bruwn five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.17.36.11, W070.41.01.52
# BUCYK
    N41.36.09.68, W070.13.45.81
# BRUWN

route3 =
    CELTK5.CELTK, celtik five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.45.42, W070.38.15.02
# SCOAR
    N42.15.59.05, W070.06.12.33
# CELTK

route4 =
    HYLND5.HYLND, hylund five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.31.61, W070.45.13.67
# BOATT
    N42.26.49.28, W070.42.35.12
# HEARR
    N42.32.00.65, W070.45.57.30
# MARBB
    N42.46.51.12, W071.16.31.08
# HYLND

route5 =
    LBSTA6.LBSTA, labsta six
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.31.61, W070.45.13.67
# BOATT
    N42.26.49.28, W070.42.35.12
# HEARR
    N42.40.34.24, W070.38.27.06
# SHAUN
    N42.48.00.00, W070.36.48.70
# LBSTA

route6 =
    PATSS5.PATSS, patss five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.05.20.66, W071.42.39.03
# PATSS

route7 =
    REVSS4.REVSS, revss four
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.20.43.57, W071.48.37.07
# REVSS

route8 =
    SSOXS5.SSOXS, socks five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.17.36.11, W070.41.01.52
# BUCYK
    N42.08.21.83, W070.36.47.48
# JSTER
    N41.50.12.62, W070.44.46.26
# SSOXS


##################################################
[departure5]
runway = BOS_04L_22R, rev

route1 =
    BLZZR4.BLZZR, blazer four
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.13.02.39, W071.45.36.59
# BLZZR

route2 =
    BRUWN5.BRUWN, bruwn five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.17.36.11, W070.41.01.52
# BUCYK
    N41.36.09.68, W070.13.45.81
# BRUWN

route3 =
    CELTK5.CELTK, celtik five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.45.42, W070.38.15.02
# SCOAR
    N42.15.59.05, W070.06.12.33
# CELTK

route4 =
    HYLND5.HYLND, hylund five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.31.61, W070.45.13.67
# BOATT
    N42.26.49.28, W070.42.35.12
# HEARR
    N42.32.00.65, W070.45.57.30
# MARBB
    N42.46.51.12, W071.16.31.08
# HYLND

route5 =
    LBSTA6.LBSTA, labsta six
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.31.61, W070.45.13.67
# BOATT
    N42.26.49.28, W070.42.35.12
# HEARR
    N42.40.34.24, W070.38.27.06
# SHAUN
    N42.48.00.00, W070.36.48.70
# LBSTA

route6 =
    PATSS5.PATSS, patss five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.05.20.66, W071.42.39.03
# PATSS

route7 =
    REVSS4.REVSS, revss four
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.18.12.90, W070.42.49.48
# JAITE
    N42.11.16.32, W070.44.00.45
# HEWMO
    N42.09.34.89, W070.56.26.99
# KENWI
    N42.20.43.57, W071.48.37.07
# REVSS

route8 =
    SSOXS5.SSOXS, socks five
    N42.18.18.19, W070.57.37.75
# TJAYY
    N42.20.00.78, W070.48.05.48
# BRRRO
    N42.17.36.11, W070.41.01.52
# BUCYK
    N42.08.21.83, W070.36.47.48
# JSTER
    N41.50.12.62, W070.44.46.26
# SSOXS


##################################################
[departure6]
runway = BOS_09_27, rev

route1 =
    BLZZR4.BLZZR, blazer four
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.13.02.39, W071.45.36.59
# BLZZR

route2 =
    BRUWN5.BRUWN, bruwn five
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.09.09.66, W071.02.24.39
# COLYN
    N42.00.32.09, W070.48.20.74
# BEREI
    N41.36.09.68, W070.13.45.81
# BRUWN

route3 =
    CELTK5.CELTK, celtik five
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.09.09.66, W071.02.24.39
# COLYN
    N42.15.59.05, W070.06.12.33
# CELTK

route4 =
    HYLND5.HYLND, hylund five
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.17.21.83, W071.13.06.18
# GLOWB
    N42.22.48.26, W071.15.28.72
# HRALD
    N42.46.51.12, W071.16.31.08
# HYLND

route5 =
    LBSTA6.LBSTA, labsta six
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.17.21.83, W071.13.06.18
# GLOWB
    N42.22.48.26, W071.15.28.72
# HRALD
    N42.30.41.97, W071.09.09.58
# CAMWI
    N42.48.00.00, W070.36.48.70
# LBSTA

route6 =
    PATSS5.PATSS, patss five
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.05.20.66, W071.42.39.03
# PATSS

route7 =
    REVSS4.REVSS, revss four
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.17.21.83, W071.13.06.18
# GLOWB
    N42.20.43.57, W071.48.37.07
# REVSS

route8 =
    SSOXS5.SSOXS, socks five
    N42.16.31.48, W071.07.41.78
# KIRAA
    N42.09.09.66, W071.02.24.39
# COLYN
    N41.50.12.62, W070.44.46.26
# SSOXS

route9 =
    WYLYY3.CYOTI, wyley three
    N42.18.02.96, W071.06.02.40
# WYLYY
    N42.09.23.83, W071.15.25.55
# CYOTI


##################################################
[departure7]
runway = BOS_15R_33L, rev

route1 =
    BLZZR4.BLZZR, blazer four
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.20.37.08, W071.21.04.57
# EXXXX
    N42.13.02.39, W071.45.36.59
# BLZZR

route2 =
    BRUWN5.BRUWN, bruwn five
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.21.17.92, W071.12.31.70
# COUSY
    N42.15.19.94, W071.09.36.29
# CBEAR
    N42.09.09.66, W071.02.24.39
# COLYN
    N42.00.32.09, W070.48.20.74
# BEREI
    N41.36.09.68, W070.13.45.81
# BRUWN

route3 =
    CELTK5.CELTK, celtik five
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.21.17.92, W071.12.31.70
# COUSY
    N42.15.19.94, W071.09.36.29
# CBEAR
    N42.09.09.66, W071.02.24.39
# COLYN
    N42.15.59.05, W070.06.12.33
# CELTK

route4 =
    HYLND5.HYLND, hylund five
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.30.41.97, W071.09.09.58
# CAMWI
    N42.46.51.12, W071.16.31.08
# HYLND

route5 =
    LBSTA6.LBSTA, labsta six
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.30.41.97, W071.09.09.58
# CAMWI
    N42.48.00.00, W070.36.48.70
# LBSTA

route6 =
    PATSS5.PATSS, patss five
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.21.17.92, W071.12.31.70
# COUSY
    N42.05.20.66, W071.42.39.03
# PATSS

route7 =
    REVSS4.REVSS, revss four
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.23.44.55, W071.20.44.54
# DUBYU
    N42.20.43.57, W071.48.37.07
# REVSS

route8 =
    SSOXS5.SSOXS, socks five
    N42.24.45.85, W071.05.55.09
# TEKKK
    N42.21.17.92, W071.12.31.70
# COUSY
    N42.15.19.94, W071.09.36.29
# CBEAR
    N42.09.09.66, W071.02.24.39
# COLYN
    N41.50.12.62, W070.44.46.26
# SSOXS

######################################################
# STARS
######################################################

# ##################################################
# [approach1]
# ##################################################
# # GDM.GDM4
# runway = BOSP_04L_22R
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210 ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210 ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210 ; BOS
#     end, 210
#
# ##################################################
# [approach2]
# ##################################################
# # PVD.ORW7
# runway = BOS_04L_22R
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 250 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 250 ; KRANN
#     end, 074

# ##################################################
# [approach3]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_04L_22R
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250 ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210 ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210 ; WOONS
#     end, 060

# ##################################################
# [approach4]
# ##################################################
# # GDM.GDM4
# runway = BOSP_04R_22L
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210

# ##################################################
# [approach5]
# ##################################################
# # PVD.ORW7
# runway = BOS_04R_22L
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 250 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 250 ; KRANN
#     end, 074

# ##################################################
# [approach6]
# ##################################################
# # ORW.WOONS2
# runway = BOS_04R_22L
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 14000, 330 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 14000, 330 ; FOSTY
#     N41.54.19.19, W071.33.50.39, 14000, 330 ; HEFTY
#     N41.57.02.07, W071.30.25.34, 14000, 330 ; WOONS
#     end, 060

# ##################################################
# [approach7]
# ##################################################
# # GDM.GDM4
# runway = BOSP_09_27
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210

# ##################################################
# [approach8]
# ##################################################
# # PVD.ORW7
# runway = BOS_09_27
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074

# ##################################################
# [approach9]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_09_27
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060

# ##################################################
# [approach10]
# ##################################################
# # GDM.GDM4
# runway = BOSP_14_32
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210

# ##################################################
# [approach11]
# ##################################################
# # PVD.ORW7
# runway = BOS_14_32
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach12]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_14_32
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060

# ##################################################
# [approach13]
# ##################################################
# # GDM.GDM4
# runway = BOSP_15L_33R
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach14]
# ##################################################
# # PVD.ORW7
# runway = BOS_15L_33R
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach15]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_15L_33R
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach16]
# ##################################################
# # GDM.GDM4
# runway = BOSP_15R_33L
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach17]
# ##################################################
# # PVD.ORW7
# runway = BOS_15R_33L
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach18]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_15R_33L
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach19]
# ##################################################
# # GDM.GDM4
# runway = BOSP_04R_22L, rev
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach20]
# ##################################################
# # PVD.ORW7
# runway = BOS_04R_22L, rev
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074

# ##################################################
# [approach21]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_04R_22L, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach22]
# ##################################################
# # GDM.GDM4
# runway = BOSP_04L_22R, rev
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach23]
# ##################################################
# # PVD.ORW7
# runway = BOS_04L_22R, rev
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach24]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_04L_22R, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach25]
# ##################################################
# # GDM.GDM4
# runway = BOSP_09_27, rev
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach26]
# ##################################################
# # PVD.ORW7
# runway = BOS_09_27, rev
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach27]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_09_27, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach28]
# ##################################################
# # GDM.GDM4
# runway = BOSP_14_32, rev
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach29]
# ##################################################
# # PVD.ORW7
# runway = BOS_14_32, rev
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach30]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_14_32, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach31]
# ##################################################
# # GDM.GDM4
# runway = BOSP_15R_33L, rev
# beacon = GDM
#
# route1 =
#     N42.32.45.32, W072.03.29.48, 11000, 250 ; GDM
#     N42.30.53.93, W071.43.21.61, 11000, 250 ; BRONC
#     N42.30.15.53, W071.36.34.04, 9000, 210  ; LOBBY
#     N42.26.27.48, W070.57.41.31, 6000, 210  ; REVER
#     N42.21.26.82, W070.59.22.37, 6000, 210  ; BOS
#     end, 210
#
# ##################################################
# [approach32]
# ##################################################
# # PVD.ORW7
# runway = BOS_15R_33L, rev
# beacon = PVD
#
# route1 =
#     N41.43.27.63, W071.25.46.71, 11000, 270 ; PVD
#     N41.51.18.69, W071.07.24.46, 11000, 270 ; KRANN
#     end, 074
#
# ##################################################
# [approach33]
# ##################################################
# # ORW.WOONS2
# runway = BOSP_15R_33L, rev
# beacon = ORW
#
# route1 =
#     N41.33.23.05, W071.59.57.67, 14000, 330 ; ORW
#     N41.41.45.92, W071.49.33.18, 11000, 250 ; JEWIT
#     N41.50.35.46, W071.38.31.34, 8000, 250  ; FOSTY
#     N41.54.19.19, W071.33.50.39, 7000, 210  ; HEFTY
#     N41.57.02.07, W071.30.25.34, 7000, 210  ; WOONS
#     end, 060
#
# ##################################################
# [approach34]
# ##################################################
