# This is an automatically generated airport file for Endless ATC.
# Feel free to improve, use and share this file, at your own risk.
# Data from ourairports.com.
# Coastline from naturalearthdata.com.
# See the example.txt airport for all possible sections and items to add to this file.

[airspace]
radius = 50
elevation = 841
usa = true
transition = 18001
center = N44.882, W93.221802
floor = 2000 			; minimum selectable altitude
descendaltitude = 7000 	; minimum initial altitude for arrivals
ceiling = 13000 		; maximum selectable altitude
above = 17000 			; maximum departure altitude when SID is enabled (must be above ceiling)
magneticvar = 1.529
beacons =
	MSP, N44.89650, W93.23650, 0, Minneapolis

# KMSP STAR BEACONS
    AANAH, N44.25.41.36, W093.19.19.23, aanah
runway = KMSP_04_22, rev
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.35.42.49, W093.12.26.32, 10000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 9000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach27]
##################################################
# TWINZ.EAU9
runway = KMSP_04_22, rev
beacon = TWINZ

route1 =
    090
    N45.02.55.67, W092.17.21.64, 11000, 250 ; TWINZ
    N45.00.14.73, W092.34.22.91, 11000, 250 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 250 ; LOOON
    N44.55.49.08, W093.01.51.18, 11000, 250 ; ZASKY
    end, 254

##################################################
[approach28]
##################################################
# KKILR.KKILR3
runway = KMSP_04_22, rev
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.51.52.44, W092.47.48.93, 10000, 250 ; AFTYN
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach29]
##################################################
# BAYKS.MUSCL3
runway = KMSP_04_22, rev
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 280 ; LOOON
    N44.56.42.40, W092.56.21.76, 10000, 250 ; WDBRY
    N44.55.49.08, W093.01.51.18, 9000, 250 ; ZASKY
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach30]
##################################################
# NITZR.NITZR3
runway = KMSP_04_22, rev
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.30.41.05, W093.15.58.59, 12000, 280 ; GDNEE
    N44.35.42.49, W093.12.26.32, 11000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 10000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach31]
##################################################
# SHONN.SKETR5
runway = KMSP_04_22, rev
beacon = SHONN

route1 =
    270
    N44.41.36.39, W094.09.07.94, 11000, 250 ; SHONN
    N44.44.54.77, W093.54.27.23, 11000, 250 ; NORWD
    N44.47.20.15, W093.43.35.40, 11000, 250 ; JAEDN
    N44.51.09.10, W093.26.17.53, 11000, 250 ; MONKY
    end, 071

##################################################
[approach32]
##################################################
# OFSON.TORGY3
runway = KMSP_04_22, rev
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.47.20.15, W093.43.35.40, 10000, 250 ; JAEDN
    N44.51.14.58, W093.25.51.61, 9000, 250 ; HDEEE
    N44.46.54.18, W093.15.51.42, 8000, 210 ; MAUER
    N44.41.04.81, W093.02.19.28, 8000, 210 ; JJENI
    end, 121

##################################################
[approach33]
##################################################
# TRGET.TWOLF3
runway = KMSP_04_22, rev
beacon = TRGET

route1 =
    180
    N44.13.52.58, W093.27.43.65, 11000, 250 ; TRGET
    N44.22.49.19, W093.21.29.53, 11000, 250 ; PIKKL
    N44.30.41.05, W093.15.58.59, 11000, 250 ; GDNEE
    N44.37.51.40, W093.10.55.39, 11000, 250 ; FGT
    end, 090

##################################################
[approach34]
##################################################
# LUCCY.BAINY3
runway = KMSP_12R_30L, rev
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.08.44.47, W093.22.23.45, 10000, 250 ; GEP
    N45.03.08.48, W093.18.53.06, 9000, 250 ; PRRPL
    N44.46.54.18, W093.15.51.42, 8000, 210 ; MAUER
    N44.41.04.81, W093.02.19.28, 8000, 210 ; JJENI
    end, 121

##################################################
[approach35]
##################################################
# OFSON.TORGY3
runway = KMSP_12R_30L, rev
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.47.20.15, W093.43.35.40, 10000, 250 ; JAEDN
    N44.51.14.58, W093.25.51.61, 9000, 250 ; HDEEE
    N44.46.54.18, W093.15.51.42, 8000, 210 ; MAUER
    N44.41.04.81, W093.02.19.28, 8000, 210 ; JJENI
    end, 121

##################################################
[approach36]
##################################################
# LUCCY.BAINY3
runway = KMSP_12L_30R, rev
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.08.44.47, W093.22.23.45, 10000, 250 ; GEP
    N45.03.08.48, W093.18.53.06, 9000, 250 ; PRRPL
    N44.57.49.95, W093.06.34.25, 8000, 210 ; OSMOH
    N44.53.30.84, W092.56.50.32, 8000, 210 ; IRRRV
    end, 121

##################################################
[approach37]
##################################################
# OFSON.TORGY3
runway = KMSP_12L_30R, rev
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.47.20.15, W093.43.35.40, 10000, 250 ; JAEDN
    N44.51.14.58, W093.25.51.61, 9000, 250 ; HDEEE
    N44.57.49.95, W093.06.34.25, 8000, 210 ; OSMOH
    N44.53.30.84, W092.56.50.32, 8000, 210 ; IRRRV
    end, 121

##################################################
[approach38]
##################################################
# LUCCY.BAINY3
runway = KMSP_17_35, rev
beacon = LUCCY

route1 =
    360
    N45.35.04.41, W093.36.32.48, 11000, 280 ; LUCCY
    N45.20.54.45, W093.28.52.21, 11000, 280 ; SAUGR
    N45.08.44.47, W093.22.23.45, 10000, 250 ; GEP
    N45.03.08.48, W093.18.53.06, 9000, 250 ; PRRPL
    N44.48.16.38, W093.18.59.44, 8000, 210 ; BRNVL
    N44.39.33.18, W093.18.36.95, 8000, 210 ; GWAIT
    end, 176

##################################################
[approach39]
##################################################
# BLUEM.BLUEM4
runway = KMSP_17_35, rev
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.24.37.21, W093.11.43.55, 9000, 230 ; DNDIS
    N44.32.24.23, W093.09.08.72, 7000, 230 ; JAMEZ
    end, 090

##################################################
[approach40]
##################################################
# TWINZ.EAU9
runway = KMSP_17_35, rev
beacon = TWINZ

route1 =
    090
    N45.02.55.67, W092.17.21.64, 11000, 250 ; TWINZ
    N45.00.14.73, W092.34.22.91, 11000, 250 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 250 ; LOOON
    N44.55.49.08, W093.01.51.18, 11000, 250 ; ZASKY
    end, 254

##################################################
[approach41]
##################################################
# OLLEE.GEP1
runway = KMSP_17_35, rev
beacon = OLLEE

route1 =
    330
    N45.32.07.89, W093.34.53.49, 11000, 250 ; OLLEE
    N45.20.54.45, W093.28.52.21, 11000, 250 ; SAUGR
    N45.08.44.47, W093.22.23.45, 11000, 250 ; GEP
    N45.02.12.00, W093.18.51.00, 11000, 250 ; VYKES
    N44.52.55.10, W093.13.18.40, 11000, 250 ; KMSP
    end, 185

##################################################
[approach42]
##################################################
# KKILR.KKILR3
runway = KMSP_17_35, rev
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.51.52.44, W092.47.48.93, 10000, 250 ; AFTYN
    N44.50.28.09, W093.00.35.66, 9000, 250 ; JONZY
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach43]
##################################################
# BAYKS.MUSCL3
runway = KMSP_17_35, rev
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 280 ; LOOON
    N44.56.42.40, W092.56.21.76, 10000, 250 ; WDBRY
    N44.55.49.08, W093.01.51.18, 9000, 250 ; ZASKY
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach44]
##################################################
# NITZR.NITZR3
runway = KMSP_17_35, rev
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.23.41.72, W093.20.48.89, 9000, 230 ; SHILD
    N44.30.41.05, W093.15.58.59, 9000, 230 ; GDNEE
    N44.32.03.98, W093.15.09.71, 7000, 230 ; NNEWW
    end, 090

##################################################
[approach45]
##################################################
# SHONN.SKETR5
runway = KMSP_17_35, rev
beacon = SHONN

route1 =
    270
    N44.41.36.39, W094.09.07.94, 11000, 250 ; SHONN
    N44.44.54.77, W093.54.27.23, 11000, 250 ; NORWD
    N44.47.20.15, W093.43.35.40, 11000, 250 ; JAEDN
    N44.51.09.10, W093.26.17.53, 11000, 250 ; MONKY
    N44.51.35.55, W093.24.16.58, 11000, 250 ; CHYMP
    N44.52.55.10, W093.13.18.40, 11000, 250 ; KMSP
    end, 170

##################################################
[approach46]
##################################################
# OFSON.TORGY3
runway = KMSP_17_35, rev
beacon = OFSON

route1 =
    250
    N44.40.25.33, W094.14.28.99, 11000, 280 ; OFSON
    N44.42.04.05, W094.07.10.47, 11000, 280 ; HMBRG
    N44.45.10.46, W093.53.17.06, 11000, 280 ; CONIA
    N44.47.20.15, W093.43.35.40, 10000, 250 ; JAEDN
    N44.51.14.58, W093.25.51.61, 9000, 250 ; HDEEE
    N44.48.16.38, W093.18.59.44, 8000, 210 ; BRNVL
    N44.39.33.18, W093.18.36.95, 8000, 210 ; GWAIT
    end, 176

##################################################
[approach47]
##################################################
# TRGET.TWOLF3
runway = KMSP_17_35, rev
beacon = TRGET

route1 =
    180
    N44.13.52.58, W093.27.43.65, 11000, 250 ; TRGET
    N44.22.49.19, W093.21.29.53, 11000, 250 ; PIKKL
    N44.30.41.05, W093.15.58.59, 11000, 250 ; GDNEE
    N44.37.51.40, W093.10.55.39, 11000, 250 ; FGT
    end, 090

##################################################
[approach48]
##################################################
# BLUEM.BLUEM4
runway = KMSP_12L_30R
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.35.42.49, W093.12.26.32, 10000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 9000, 250 ; SAVVG
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach49]
##################################################
# KKILR.KKILR3
runway = KMSP_12L_30R
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.51.52.44, W092.47.48.93, 10000, 250 ; AFTYN
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach50]
##################################################
# BAYKS.MUSCL3
runway = KMSP_12L_30R
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 280 ; LOOON
    N44.56.42.40, W092.56.21.76, 10000, 250 ; WDBRY
    N44.55.49.08, W093.01.51.18, 9000, 250 ; ZASKY
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach51]
##################################################
# NITZR.NITZR3
runway = KMSP_12L_30R
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.30.41.05, W093.15.58.59, 12000, 280 ; GDNEE
    N44.35.42.49, W093.12.26.32, 11000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 10000, 250 ; SAVVG
    N44.57.45.48, W093.06.22.30, 8000, 230 ; CMMOE
    N45.03.15.64, W093.19.10.42, 8000, 230 ; COZZZ
    end, 301

##################################################
[approach52]
##################################################
# BLUEM.BLUEM4
runway = KMSP_12R_30L
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.35.42.49, W093.12.26.32, 10000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 9000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach53]
##################################################
# KKILR.KKILR3
runway = KMSP_12R_30L
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.51.52.44, W092.47.48.93, 10000, 250 ; AFTYN
    N44.50.28.09, W093.00.35.66, 9000, 250 ; JONZY
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach54]
##################################################
# BAYKS.MUSCL3
runway = KMSP_12R_30L
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 280 ; LOOON
    N44.56.42.40, W092.56.21.76, 10000, 250 ; WDBRY
    N44.55.49.08, W093.01.51.18, 9000, 250 ; ZASKY
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach55]
##################################################
# NITZR.NITZR3
runway = KMSP_12R_30L
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.30.41.05, W093.15.58.59, 12000, 280 ; GDNEE
    N44.35.42.49, W093.12.26.32, 11000, 250 ; ELLKO
    N44.41.30.09, W093.13.09.85, 10000, 250 ; SAVVG
    N44.48.19.40, W093.19.04.57, 8000, 230 ; GREAK
    N44.54.02.69, W093.32.36.02, 8000, 230 ; DOLEE
    end, 300

##################################################
[approach56]
##################################################
# BLUEM.BLUEM4
runway = KMSP_RW30B
beacon = BLUEM

route1 =
    180
    N44.10.52.86, W093.13.25.67, 11000, 280 ; BLUEM
    N44.22.28.13, W093.12.26.22, 11000, 280 ; FARBO
    N44.25.52.15, W093.11.20.70, 10000, 250 ; NOFLD
    N44.36.22.81, W093.00.50.94, 7000, 230 ; CANDD
    N44.37.42.13, W092.59.30.61, 7000, 210 ; HAPTN
    end, 090

##################################################
[approach57]
##################################################
# TWINZ.EAU9
runway = KMSP_RW30B
beacon = TWINZ

route1 =
    090
    N45.02.55.67, W092.17.21.64, 11000, 250 ; TWINZ
    N45.00.14.73, W092.34.22.91, 11000, 250 ; WOLVS
    N44.58.55.32, W092.42.40.72, 11000, 250 ; LOOON
    N44.55.49.08, W093.01.51.18, 11000, 250 ; ZASKY
    end, 254

##################################################
[approach58]
##################################################
# OLLEE.GEP1
runway = KMSP_RW30B
beacon = OLLEE

route1 =
    330
    N45.32.07.89, W093.34.53.49, 11000, 250 ; OLLEE
    N45.20.54.45, W093.28.52.21, 11000, 250 ; SAUGR
    N45.08.44.47, W093.22.23.45, 11000, 250 ; GEP
    N45.02.12.00, W093.18.51.00, 11000, 250 ; VYKES
    N44.52.55.10, W093.13.18.40, 11000, 250 ; KMSP
    end, 120

##################################################
[approach59]
##################################################
# KKILR.KKILR3
runway = KMSP_RW30B
beacon = KKILR

route1 =
    090
    N44.51.10.22, W092.11.08.12, 12000, 280 ; KKILR
    N44.52.09.19, W092.29.12.36, 12000, 280 ; KRISP
    N44.48.47.60, W092.38.23.71, 7000, 280 ; STUWE
    N44.46.14.91, W092.45.19.26, 7000, 210 ; GEEQU
    end, 090

##################################################
[approach60]
##################################################
# BAYKS.MUSCL3
runway = KMSP_RW30B
beacon = BAYKS

route1 =
    090
    N45.03.37.67, W092.12.53.65, 12000, 280 ; BAYKS
    N45.00.14.73, W092.34.22.91, 12000, 280 ; WOLVS
    N44.58.02.53, W092.37.24.03, 8000, 280 ; LKLND
    N44.53.23.70, W092.43.45.43, 7000, 230 ; KROIX
    N44.51.57.46, W092.45.43.09, 7000, 210 ; TRTEL
    end, 090

##################################################
[approach61]
##################################################
# NITZR.NITZR3
runway = KMSP_RW30B
beacon = NITZR

route1 =
    180
    N44.11.10.48, W093.27.57.86, 12000, 280 ; NITZR
    N44.21.53.52, W093.22.00.75, 12000, 280 ; DAHRL
    N44.25.41.36, W093.19.19.23, 10000, 250 ; AANAH
    N44.28.32.94, W093.17.14.11, 9000, 250 ; WBSTR
    N44.36.22.81, W093.00.50.94, 7000, 230 ; CANDD
    N44.37.42.13, W092.59.30.61, 7000, 210 ; HAPTN
    end, 090

##################################################
[approach62]
##################################################
# SHONN.SKETR5
runway = KMSP_RW30B
beacon = SHONN

route1 =
    270
    N44.41.36.39, W094.09.07.94, 11000, 250 ; SHONN
    N44.44.54.77, W093.54.27.23, 11000, 250 ; NORWD
    N44.47.20.15, W093.43.35.40, 11000, 250 ; JAEDN
    N44.51.09.10, W093.26.17.53, 11000, 250 ; MONKY
    N44.52.55.10, W093.13.18.40, 11000, 250 ; KMSP
    end, 120

##################################################
[approach63]
##################################################
# TRGET.TWOLF3
runway = KMSP_RW30B
beacon = TRGET

route1 =
    180
    N44.13.52.58, W093.27.43.65, 11000, 250 ; TRGET
    N44.22.49.19, W093.21.29.53, 11000, 250 ; PIKKL
    N44.30.41.05, W093.15.58.59, 11000, 250 ; GDNEE
    N44.37.51.40, W093.10.55.39, 11000, 250 ; FGT
    end, 090

##################################################
# KMSP APPROACHES
##################################################



##################################################
[approach64]
##################################################
# CCJAY.H12LY
runway = KMSP_12L_30R
beacon = CCJAY

route1 =
    360
    N45.03.30.66, W093.36.22.44, 6000, 250 ; CCJAY
    N45.01.53.43, W093.32.34.92, 6000, 250 ; UBTYA
    N45.00.16.07, W093.28.47.59, 5000, 250 ; ALGIN
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach65]
##################################################
# KAYQU.H12LY
runway = KMSP_12L_30R
beacon = KAYQU

route1 =
    360
    N45.10.47.83, W093.29.09.59, 6000, 210 ; KAYQU
    N45.04.14.50, W093.29.18.95, 5000, 210 ; SHUUT
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach66]
##################################################
# GREAK.H12RY
runway = KMSP_12R_30L
beacon = GREAK

route1 =
    360
    N44.48.19.40, W093.19.04.57, 6000, 230 ; GREAK
    N44.51.19.07, W093.26.03.53, 6000, 210 ; TIETN
    N44.53.05.01, W093.30.12.65, 6000, 210 ; EEDDN
    N44.58.46.06, W093.27.51.86, 4400, 210 ; KRLSN
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach67]
##################################################
# KRUGG.H12RY
runway = KMSP_12R_30L
beacon = KRUGG

route1 =
    360
    N44.55.23.72, W093.40.22.06, 6000, 210 ; KRUGG
    N44.58.56.48, W093.35.42.53, 6000, 210 ; EFEXX
    N44.58.46.06, W093.27.51.86, 4400, 210 ; KRLSN
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach68]
##################################################
# PAETN.H12RY
runway = KMSP_12R_30L
beacon = PAETN

route1 =
    360
    N45.03.11.97, W093.37.09.39, 6000, 250 ; PAETN
    N45.01.34.74, W093.33.21.87, 6000, 250 ; UTHNK
    N44.59.57.38, W093.29.34.57, 5000, 250 ; WAYZA
    N44.58.19.89, W093.25.47.46, 4000, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach69]
##################################################
# ZESTY.H12RY
runway = KMSP_12R_30L
beacon = ZESTY

route1 =
    360
    N44.58.19.89, W093.25.47.46, 2500, 200 ; ZESTY
    9, 3000, 200 ; end


##################################################
[approach70]
##################################################
# GEEQU.H30LY
runway = KMSP_12R_30L, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.45.38.62, W092.56.31.53, 5000, 210 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach71]
##################################################
# HAPTN.H30LY
runway = KMSP_12R_30L, rev
beacon = HAPTN

route1 =
    360
    N44.37.42.13, W092.59.30.61, 6000, 210 ; HAPTN
    N44.42.00.42, W092.54.42.85, 6000, 210 ; DBLEM
    N44.46.25.70, W092.59.00.61, 4400, 210 ; BBUCK
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach72]
##################################################
# HASTI.H30LY
runway = KMSP_12R_30L, rev
beacon = HASTI

route1 =
    360
    N44.42.21.30, W092.49.01.33, 6000, 250 ; HASTI
    N44.44.00.02, W092.52.46.32, 6000, 250 ; PINKE
    N44.45.38.62, W092.56.31.53, 5000, 250 ; PIGZI
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach73]
##################################################
# MAUER.H30LY
runway = KMSP_12R_30L, rev
beacon = MAUER

route1 =
    360
    N44.46.54.18, W093.15.51.42, 6000, 210 ; MAUER
    N44.44.27.58, W093.10.12.34, 6000, 210 ; LEDRZ
    N44.42.06.27, W093.04.41.28, 6000, 210 ; TONEE
    N44.46.25.70, W092.59.00.61, 4400, 210 ; BBUCK
    N44.47.17.10, W093.00.16.96, 4000, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach74]
##################################################
# AABEZ.H30LY
runway = KMSP_12R_30L, rev
beacon = AABEZ

route1 =
    360
    N44.47.17.10, W093.00.16.96, 2500, 200 ; AABEZ
    9, 3000, 200 ; end


##################################################
[approach75]
##################################################
# GEEQU.H30RY
runway = KMSP_12L_30R, rev
beacon = GEEQU

route1 =
    360
    N44.46.14.91, W092.45.19.26, 6000, 210 ; GEEQU
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach76]
##################################################
# GROVZ.H30RY
runway = KMSP_12L_30R, rev
beacon = GROVZ

route1 =
    360
    N44.42.50.91, W092.48.38.71, 6000, 250 ; GROVZ
    N44.44.29.60, W092.52.23.75, 6000, 250 ; WULAM
    N44.46.08.17, W092.56.09.02, 5000, 250 ; BONNA
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach77]
##################################################
# TRTEL.H30RY
runway = KMSP_12L_30R, rev
beacon = TRTEL

route1 =
    360
    N44.51.57.46, W092.45.43.09, 6000, 210 ; TRTEL
    N44.47.40.29, W092.51.33.11, 5000, 210 ; SOGGY
    N44.47.46.62, W092.59.54.51, 4000, 200 ; SAMMZ
    9, 3000, 200 ; end


##################################################
[approach78]
##################################################
# BRNVL.H35-Y
runway = KMSP_17_35, rev
beacon = BRNVL

route1 =
    360
    N44.48.16.38, W093.18.59.44, 6000, 210 ; BRNVL
    N44.44.57.12, W093.18.52.41, 6000, 210 ; HRBIE
    N44.41.48.86, W093.18.42.77, 6000, 210 ; HANRA
    N44.41.15.82, W093.11.46.04, 4300, 210 ; CHRMR
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach79]
##################################################
# JAMEZ.H35-Y
runway = KMSP_17_35, rev
beacon = JAMEZ

route1 =
    360
    N44.32.24.23, W093.09.08.72, 6000, 250 ; JAMEZ
    N44.35.50.17, W093.10.01.66, 6000, 250 ; OBERR
    N44.39.16.51, W093.10.54.72, 5000, 250 ; SSTAR
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach80]
##################################################
# NNEWW.H35-Y
runway = KMSP_17_35, rev
beacon = NNEWW

route1 =
    360
    N44.32.03.98, W093.15.09.71, 6000, 250 ; NNEWW
    N44.36.39.77, W093.13.27.94, 5500, 210 ; BUHZZ
    N44.41.15.82, W093.11.46.04, 4300, 210 ; CHRMR
    N44.42.21.76, W093.11.42.54, 4000, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach81]
##################################################
# ROZEE.H35-Y
runway = KMSP_17_35, rev
beacon = ROZEE

route1 =
    360
    N44.42.21.76, W093.11.42.54, 2500, 200 ; ROZEE
    9, 3000, 200 ; end


##################################################
[approach82]
##################################################
# CCJAY.I12L
runway = KMSP_12L_30R
beacon = CCJAY

route1 =
    360
    N45.03.30.66, W093.36.22.44, 6000, 250 ; CCJAY
    N45.01.53.43, W093.32.34.92, 6000, 250 ; UBTYA
    N45.00.16.07, W093.28.47.59, 5000, 250 ; ALGIN
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach83]
##################################################
# KAYQU.I12L
runway = KMSP_12L_30R
beacon = KAYQU

route1 =
    360
    N45.10.47.83, W093.29.09.59, 6000, 210 ; KAYQU
    N45.04.14.50, W093.29.18.95, 5000, 210 ; SHUUT
    N44.58.38.58, W093.25.00.46, 4000, 200 ; HAMML
    9, 3000, 200 ; end


##################################################
[approach84]
##################################################
# HAMML.I12L
runway = KMSP_12L_30R
beacon = HAMML

